id,Variable,Summer,Autumn,Winter,Spring
1,T1001,20.50552739,16.52907019,11.57725848,16.85570042
2,RH1001,56.8265491,59.42506088,65.69372764,55.25348838
3,T1002,19.79429611,15.54375967,10.6509584,16.07864544
4,RH1002,63.65788843,67.33367202,74.00445855,62.29803118
5,T1003,20.07712769,15.62805874,11.04033956,16.31838867
6,RH1003,64.06457451,68.38226449,75.01964778,63.63266977
7,T1004,19.46613323,15.19415971,10.2346031,
8,RH1004,63.02522042,67.40456387,74.28608733,
9,T1005,19.29278449,14.83077468,10.3940436,15.68138522
10,RH1005,62.87411656,67.09971775,73.13286086,61.66665876
